Number of Genomes,10,15,30,50,70,200,400,600,800,1000
,,GCA__000247315.2,GCA__000247315.2,GCA__000215445.2,GCA__000164715.1,GCA__000027045.1,GCA__000027045.1,GCA_000027045.1,GCA_000027045.1,GCA_000027045.1
,,GCA__000247335.2,GCA__000247335.2,GCA__000221745.2,GCA__000171455.1,GCA__000144955.1,GCA__000144955.1,GCA_000144955.1,GCA_000144955.1,GCA_000144955.1
,,GCA__000247355.2,GCA__000247355.2,GCA__000221765.2,GCA__000174475.1,GCA__000145595.1,GCA__000145595.1,GCA_000145595.1,GCA_000145595.1,GCA_000145595.1
,,GCA__000247395.2,GCA__000247395.2,GCA__000239235.1,GCA__000174515.1,GCA__000146385.1,GCA__000146385.1,GCA_000146385.1,GCA_000146385.1,GCA_000146385.1
,,GCA__000247415.2,GCA__000247415.2,GCA__000239535.2,GCA__000174535.1,GCA__000149015.1,GCA__000149015.1,GCA_000149015.1,GCA_000149015.1,GCA_000149015.1
,,GCA__000248495.2,GCA__000248495.2,GCA__000239575.2,GCA__000174555.1,GCA__000153665.1,GCA__000153665.1,GCA_000153665.1,GCA_000153665.1,GCA_000153665.1
,,GCA__000248515.2,GCA__000248515.2,GCA__000239595.2,GCA__000174575.1,GCA__000159535.2,GCA__000159535.2,GCA_000159535.2,GCA_000159535.2,GCA_000159535.2
,,GCA__000248535.2,GCA__000248535.2,GCA__000239615.2,GCA__000174595.1,GCA__000159555.1,GCA__000159555.1,GCA_000159555.1,GCA_000159555.1,GCA_000159555.1
,,GCA__000248555.3,GCA__000248555.3,GCA__000239635.2,GCA__000174615.1,GCA__000160195.1,GCA__000160195.1,GCA_000160195.1,GCA_000160195.1,GCA_000160195.1
,,GCA__000248575.2,GCA__000248575.2,GCA__000239655.2,GCA__000174635.1,GCA__000160335.2,GCA__000160335.2,GCA_000160335.2,GCA_000160335.2,GCA_000160335.2
,,GCA__000248595.2,GCA__000248595.2,GCA__000242475.2,GCA__000175495.1,GCA__000160355.1,GCA__000160355.1,GCA_000160355.1,GCA_000160355.1,GCA_000160355.1
,,GCA__000248615.2,GCA__000248615.2,GCA__000242495.2,GCA__000175955.1,GCA__000160375.1,GCA__000160375.1,GCA_000160375.1,GCA_000160375.1,GCA_000160375.1
,,GCA__000248635.2,GCA__000248635.2,GCA__000242515.2,GCA__000178015.1,GCA__000160395.1,GCA__000160395.1,GCA_000160395.1,GCA_000160395.1,GCA_000160395.1
,,,,GCA__000242555.2,GCA__000187145.1,GCA__000160415.1,GCA__000160415.1,GCA_000160415.1,GCA_000160415.1,GCA_000160415.1
,,,,GCA__000242575.2,GCA__000187165.1,GCA__000162595.1,GCA__000162595.1,GCA_000162595.1,GCA_000162595.1,GCA_000162595.1
,,,,GCA__000245575.2,GCA__000189455.3,GCA__000162615.1,GCA__000162615.1,GCA_000162615.1,GCA_000162615.1,GCA_000162615.1
,,,,GCA__000245595.2,GCA__000193855.2,GCA__000162635.1,GCA__000162635.1,GCA_000162635.1,GCA_000162635.1,GCA_000162635.1
,,,,GCA__000247255.2,GCA__000205345.2,GCA__000162655.1,GCA__000162655.1,GCA_000162655.1,GCA_000162655.1,GCA_000162655.1
,,,,GCA__000247275.2,GCA__000205365.2,GCA__000162675.1,GCA__000162675.1,GCA_000162675.1,GCA_000162675.1,GCA_000162675.1
,,,,GCA__000247295.2,GCA__000215425.2,GCA__000162695.1,GCA__000162695.1,GCA_000162695.1,GCA_000162695.1,GCA_000162695.1
,,,,GCA__000247315.2,GCA__000215445.2,GCA__000162715.1,GCA__000162715.1,GCA_000162715.1,GCA_000162715.1,GCA_000162715.1
,,,,GCA__000247335.2,GCA__000221745.2,GCA__000162735.1,GCA__000162735.1,GCA_000162735.1,GCA_000162735.1,GCA_000162735.1
,,,,GCA__000247355.2,GCA__000221765.2,GCA__000162795.1,GCA__000162795.1,GCA_000162795.1,GCA_000162795.1,GCA_000162795.1
,,,,GCA__000247395.2,GCA__000239235.1,GCA__000162815.1,GCA__000162815.1,GCA_000162815.1,GCA_000162815.1,GCA_000162815.1
,,,,GCA__000247415.2,GCA__000239535.2,GCA__000162835.1,GCA__000162835.1,GCA_000162835.1,GCA_000162835.1,GCA_000162835.1
,,,,GCA__000248495.2,GCA__000239575.2,GCA__000162855.1,GCA__000162855.1,GCA_000162855.1,GCA_000162855.1,GCA_000162855.1
,,,,GCA__000248515.2,GCA__000239595.2,GCA__000163335.1,GCA__000163335.1,GCA_000163335.1,GCA_000163335.1,GCA_000163335.1
,,,,GCA__000248535.2,GCA__000239615.2,GCA__000163575.1,GCA__000163575.1,GCA_000163575.1,GCA_000163575.1,GCA_000163575.1
,,,,GCA__000248555.3,GCA__000239635.2,GCA__000164715.1,GCA__000164715.1,GCA_000164715.1,GCA_000164715.1,GCA_000164715.1
,,,,GCA__000248575.2,GCA__000239655.2,GCA__000171435.1,GCA__000171435.1,GCA_000171435.1,GCA_000171435.1,GCA_000171435.1
,,,,GCA__000248595.2,GCA__000242475.2,GCA__000171455.1,GCA__000171455.1,GCA_000171455.1,GCA_000171455.1,GCA_000171455.1
,,,,GCA__000248615.2,GCA__000242495.2,GCA__000172855.1,GCA__000172855.1,GCA_000172855.1,GCA_000172855.1,GCA_000172855.1
,,,,GCA__000248635.2,GCA__000242515.2,GCA__000174455.1,GCA__000174455.1,GCA_000174455.1,GCA_000174455.1,GCA_000174455.1
,,,,,GCA__000242555.2,GCA__000174475.1,GCA__000174475.1,GCA_000174475.1,GCA_000174475.1,GCA_000174475.1
,,,,,GCA__000242575.2,GCA__000174495.1,GCA__000174495.1,GCA_000174495.1,GCA_000174495.1,GCA_000174495.1
,,,,,GCA__000245575.2,GCA__000174515.1,GCA__000174515.1,GCA_000174515.1,GCA_000174515.1,GCA_000174515.1
,,,,,GCA__000245595.2,GCA__000174535.1,GCA__000174535.1,GCA_000174535.1,GCA_000174535.1,GCA_000174535.1
,,,,,GCA__000247255.2,GCA__000174555.1,GCA__000174555.1,GCA_000174555.1,GCA_000174555.1,GCA_000174555.1
,,,,,GCA__000247275.2,GCA__000174575.1,GCA__000174575.1,GCA_000174575.1,GCA_000174575.1,GCA_000174575.1
,,,,,GCA__000247295.2,GCA__000174595.1,GCA__000174595.1,GCA_000174595.1,GCA_000174595.1,GCA_000174595.1
,,,,,GCA__000247315.2,GCA__000174615.1,GCA__000174615.1,GCA_000174615.1,GCA_000174615.1,GCA_000174615.1
,,,,,GCA__000247335.2,GCA__000174635.1,GCA__000174635.1,GCA_000174635.1,GCA_000174635.1,GCA_000174635.1
,,,,,GCA__000247355.2,GCA__000174955.1,GCA__000174955.1,GCA_000174955.1,GCA_000174955.1,GCA_000174955.1
,,,,,GCA__000247395.2,GCA__000175475.1,GCA__000175475.1,GCA_000175475.1,GCA_000175475.1,GCA_000175475.1
,,,,,GCA__000247415.2,GCA__000175495.1,GCA__000175495.1,GCA_000175495.1,GCA_000175495.1,GCA_000175495.1
,,,,,GCA__000248495.2,GCA__000175955.1,GCA__000175955.1,GCA_000175955.1,GCA_000175955.1,GCA_000175955.1
,,,,,GCA__000248515.2,GCA__000176195.1,GCA__000176195.1,GCA_000176195.1,GCA_000176195.1,GCA_000176195.1
,,,,,GCA__000248535.2,GCA__000177995.1,GCA__000177995.1,GCA_000177995.1,GCA_000177995.1,GCA_000177995.1
,,,,,GCA__000248555.3,GCA__000178015.1,GCA__000178015.1,GCA_000178015.1,GCA_000178015.1,GCA_000178015.1
,,,,,GCA__000248575.2,GCA__000178035.1,GCA__000178035.1,GCA_000178035.1,GCA_000178035.1,GCA_000178035.1
,,,,,GCA__000248595.2,GCA__000180095.1,GCA__000180095.1,GCA_000180095.1,GCA_000180095.1,GCA_000180095.1
,,,,,GCA__000248615.2,GCA__000180395.1,GCA__000180395.1,GCA_000180395.1,GCA_000180395.1,GCA_000180395.1
,,,,,GCA__000248635.2,GCA__000187145.1,GCA__000187145.1,GCA_000187145.1,GCA_000187145.1,GCA_000187145.1
,,,,,,GCA__000187165.1,GCA__000187165.1,GCA_000187165.1,GCA_000187165.1,GCA_000187165.1
,,,,,,GCA__000189435.3,GCA__000189435.3,GCA_000189435.3,GCA_000189435.3,GCA_000189435.3
,,,,,,GCA__000189455.3,GCA__000189455.3,GCA_000189455.3,GCA_000189455.3,GCA_000189455.3
,,,,,,GCA__000193835.2,GCA__000193835.2,GCA_000193835.2,GCA_000193835.2,GCA_000193835.2
,,,,,,GCA__000193855.2,GCA__000193855.2,GCA_000193855.2,GCA_000193855.2,GCA_000193855.2
,,,,,,GCA__000193875.2,GCA__000193875.2,GCA_000193875.2,GCA_000193875.2,GCA_000193875.2
,,,,,,GCA__000204665.1,GCA__000204665.1,GCA_000204665.1,GCA_000204665.1,GCA_000204665.1
,,,,,,GCA__000205345.2,GCA__000205345.2,GCA_000205345.2,GCA_000205345.2,GCA_000205345.2
,,,,,,GCA__000205365.2,GCA__000205365.2,GCA_000205365.2,GCA_000205365.2,GCA_000205365.2
,,,,,,GCA__000205385.2,GCA__000205385.2,GCA_000205385.2,GCA_000205385.2,GCA_000205385.2
,,,,,,GCA__000208695.1,GCA__000208695.1,GCA_000208695.1,GCA_000208695.1,GCA_000208695.1
,,,,,,GCA__000210315.1,GCA__000210315.1,GCA_000210315.1,GCA_000210315.1,GCA_000210315.1
,,,,,,GCA__000212435.2,GCA__000212435.2,GCA_000212435.2,GCA_000212435.2,GCA_000212435.2
,,,,,,GCA__000215405.2,GCA__000215405.2,GCA_000215405.2,GCA_000215405.2,GCA_000215405.2
,,,,,,GCA__000215425.2,GCA__000215425.2,GCA_000215425.2,GCA_000215425.2,GCA_000215425.2
,,,,,,GCA__000215445.2,GCA__000215445.2,GCA_000215445.2,GCA_000215445.2,GCA_000215445.2
,,,,,,GCA__000221725.2,GCA__000221725.2,GCA_000221725.2,GCA_000221725.2,GCA_000221725.2
,,,,,,GCA__000221745.2,GCA__000221745.2,GCA_000221745.2,GCA_000221745.2,GCA_000221745.2
,,,,,,GCA__000221765.2,GCA__000221765.2,GCA_000221765.2,GCA_000221765.2,GCA_000221765.2
,,,,,,GCA__000221785.2,GCA__000221785.2,GCA_000221785.2,GCA_000221785.2,GCA_000221785.2
,,,,,,GCA__000221805.2,GCA__000221805.2,GCA_000221805.2,GCA_000221805.2,GCA_000221805.2
,,,,,,GCA__000221825.2,GCA__000221825.2,GCA_000221825.2,GCA_000221825.2,GCA_000221825.2
,,,,,,GCA__000221845.2,GCA__000221845.2,GCA_000221845.2,GCA_000221845.2,GCA_000221845.2
,,,,,,GCA__000237125.2,GCA__000237125.2,GCA_000237125.2,GCA_000237125.2,GCA_000237125.2
,,,,,,GCA__000237265.1,GCA__000237265.1,GCA_000237265.1,GCA_000237265.1,GCA_000237265.1
,,,,,,GCA__000239235.1,GCA__000239235.1,GCA_000239235.1,GCA_000239235.1,GCA_000239235.1
,,,,,,GCA__000239535.2,GCA__000239535.2,GCA_000239535.2,GCA_000239535.2,GCA_000239535.2
,,,,,,GCA__000239555.2,GCA__000239555.2,GCA_000239555.2,GCA_000239555.2,GCA_000239555.2
,,,,,,GCA__000239575.2,GCA__000239575.2,GCA_000239575.2,GCA_000239575.2,GCA_000239575.2
,,,,,,GCA__000239595.2,GCA__000239595.2,GCA_000239595.2,GCA_000239595.2,GCA_000239595.2
,,,,,,GCA__000239615.2,GCA__000239615.2,GCA_000239615.2,GCA_000239615.2,GCA_000239615.2
,,,,,,GCA__000239635.2,GCA__000239635.2,GCA_000239635.2,GCA_000239635.2,GCA_000239635.2
,,,,,,GCA__000239655.2,GCA__000239655.2,GCA_000239655.2,GCA_000239655.2,GCA_000239655.2
,,,,,,GCA__000239675.2,GCA__000239675.2,GCA_000239675.2,GCA_000239675.2,GCA_000239675.2
,,,,,,GCA__000242475.2,GCA__000242475.2,GCA_000242475.2,GCA_000242475.2,GCA_000242475.2
,,,,,,GCA__000242495.2,GCA__000242495.2,GCA_000242495.2,GCA_000242495.2,GCA_000242495.2
,,,,,,GCA__000242515.2,GCA__000242515.2,GCA_000242515.2,GCA_000242515.2,GCA_000242515.2
,,,,,,GCA__000242535.2,GCA__000242535.2,GCA_000242535.2,GCA_000242535.2,GCA_000242535.2
,,,,,,GCA__000242555.2,GCA__000242555.2,GCA_000242555.2,GCA_000242555.2,GCA_000242555.2
,,,,,,GCA__000242575.2,GCA__000242575.2,GCA_000242575.2,GCA_000242575.2,GCA_000242575.2
,,,,,,GCA__000245495.1,GCA__000245495.1,GCA_000245495.1,GCA_000245495.1,GCA_000245495.1
,,,,,,GCA__000245575.2,GCA__000245575.2,GCA_000245575.2,GCA_000245575.2,GCA_000245575.2
,,,,,,GCA__000245595.2,GCA__000245595.2,GCA_000245595.2,GCA_000245595.2,GCA_000245595.2
,,,,,,GCA__000245615.2,GCA__000245615.2,GCA_000245615.2,GCA_000245615.2,GCA_000245615.2
,,,,,,GCA__000247255.2,GCA__000247255.2,GCA_000247255.2,GCA_000247255.2,GCA_000247255.2
,,,,,,GCA__000247275.2,GCA__000247275.2,GCA_000247275.2,GCA_000247275.2,GCA_000247275.2
,,,,,,GCA__000247295.2,GCA__000247295.2,GCA_000247295.2,GCA_000247295.2,GCA_000247295.2
,,,,,,GCA__000247315.2,GCA__000247315.2,GCA_000247315.2,GCA_000247315.2,GCA_000247315.2
,,,,,,GCA__000247335.2,GCA__000247335.2,GCA_000247335.2,GCA_000247335.2,GCA_000247335.2
,,,,,,GCA__000247355.2,GCA__000247355.2,GCA_000247355.2,GCA_000247355.2,GCA_000247355.2
,,,,,,GCA__000247375.2,GCA__000247375.2,GCA_000247375.2,GCA_000247375.2,GCA_000247375.2
,,,,,,GCA__000247395.2,GCA__000247395.2,GCA_000247395.2,GCA_000247395.2,GCA_000247395.2
,,,,,,GCA__000247415.2,GCA__000247415.2,GCA_000247415.2,GCA_000247415.2,GCA_000247415.2
,,,,,,GCA__000248475.2,GCA__000248475.2,GCA_000248475.2,GCA_000248475.2,GCA_000248475.2
,,,,,,GCA__000248495.2,GCA__000248495.2,GCA_000248495.2,GCA_000248495.2,GCA_000248495.2
,,,,,,GCA__000248515.2,GCA__000248515.2,GCA_000248515.2,GCA_000248515.2,GCA_000248515.2
,,,,,,GCA__000248535.2,GCA__000248535.2,GCA_000248535.2,GCA_000248535.2,GCA_000248535.2
,,,,,,GCA__000248555.3,GCA__000248555.3,GCA_000248555.3,GCA_000248555.3,GCA_000248555.3
,,,,,,GCA__000248575.2,GCA__000248575.2,GCA_000248575.2,GCA_000248575.2,GCA_000248575.2
,,,,,,GCA__000248595.2,GCA__000248595.2,GCA_000248595.2,GCA_000248595.2,GCA_000248595.2
,,,,,,GCA__000248615.2,GCA__000248615.2,GCA_000248615.2,GCA_000248615.2,GCA_000248615.2
,,,,,,GCA__000248635.2,GCA__000248635.2,GCA_000248635.2,GCA_000248635.2,GCA_000248635.2
,,,,,,GCA__000248655.2,GCA__000248655.2,GCA_000248655.2,GCA_000248655.2,GCA_000248655.2
,,,,,,GCA__000248675.2,GCA__000248675.2,GCA_000248675.2,GCA_000248675.2,GCA_000248675.2
,,,,,,GCA__000248695.2,GCA__000248695.2,GCA_000248695.2,GCA_000248695.2,GCA_000248695.2
,,,,,,GCA__000248715.2,GCA__000248715.2,GCA_000248715.2,GCA_000248715.2,GCA_000248715.2
,,,,,,GCA__000248735.2,GCA__000248735.2,GCA_000248735.2,GCA_000248735.2,GCA_000248735.2
,,,,,,GCA__000248755.2,GCA__000248755.2,GCA_000248755.2,GCA_000248755.2,GCA_000248755.2
,,,,,,GCA__000248775.2,GCA__000248775.2,GCA_000248775.2,GCA_000248775.2,GCA_000248775.2
,,,,,,GCA__000248795.2,GCA__000248795.2,GCA_000248795.2,GCA_000248795.2,GCA_000248795.2
,,,,,,GCA__000248815.2,GCA__000248815.2,GCA_000248815.2,GCA_000248815.2,GCA_000248815.2
,,,,,,GCA__000248835.2,GCA__000248835.2,GCA_000248835.2,GCA_000248835.2,GCA_000248835.2
,,,,,,GCA__000248855.2,GCA__000248855.2,GCA_000248855.2,GCA_000248855.2,GCA_000248855.2
,,,,,,GCA__000248875.2,GCA__000248875.2,GCA_000248875.2,GCA_000248875.2,GCA_000248875.2
,,,,,,GCA__000248895.2,GCA__000248895.2,GCA_000248895.2,GCA_000248895.2,GCA_000248895.2
,,,,,,GCA__000248915.2,GCA__000248915.2,GCA_000248915.2,GCA_000248915.2,GCA_000248915.2
,,,,,,GCA__000248935.2,GCA__000248935.2,GCA_000248935.2,GCA_000248935.2,GCA_000248935.2
,,,,,,GCA__000248955.2,GCA__000248955.2,GCA_000248955.2,GCA_000248955.2,GCA_000248955.2
,,,,,,GCA__000248975.2,GCA__000248975.2,GCA_000248975.2,GCA_000248975.2,GCA_000248975.2
,,,,,,GCA__000248995.2,GCA__000248995.2,GCA_000248995.2,GCA_000248995.2,GCA_000248995.2
,,,,,,GCA__000249015.2,GCA__000249015.2,GCA_000249015.2,GCA_000249015.2,GCA_000249015.2
,,,,,,GCA__000249035.2,GCA__000249035.2,GCA_000249035.2,GCA_000249035.2,GCA_000249035.2
,,,,,,GCA__000252405.2,GCA__000252405.2,GCA_000252405.2,GCA_000252405.2,GCA_000252405.2
,,,,,,GCA__000253135.1,GCA__000253135.1,GCA_000253135.1,GCA_000253135.1,GCA_000253135.1
,,,,,,GCA__000257985.1,GCA__000257985.1,GCA_000257985.1,GCA_000257985.1,GCA_000257985.1
,,,,,,GCA__000258475.1,GCA__000258475.1,GCA_000258475.1,GCA_000258475.1,GCA_000258475.1
,,,,,,GCA__000258685.1,GCA__000258685.1,GCA_000258685.1,GCA_000258685.1,GCA_000258685.1
,,,,,,GCA__000259715.1,GCA__000259715.1,GCA_000259715.1,GCA_000259715.1,GCA_000259715.1
,,,,,,GCA__000259995.1,GCA__000259995.1,GCA_000259995.1,GCA_000259995.1,GCA_000259995.1
,,,,,,GCA__000260015.1,GCA__000260015.1,GCA_000260015.1,GCA_000260015.1,GCA_000260015.1
,,,,,,GCA__000260035.1,GCA__000260035.1,GCA_000260035.1,GCA_000260035.1,GCA_000260035.1
,,,,,,GCA__000260055.1,GCA__000260055.1,GCA_000260055.1,GCA_000260055.1,GCA_000260055.1
,,,,,,GCA__000260315.1,GCA__000260315.1,GCA_000260315.1,GCA_000260315.1,GCA_000260315.1
,,,,,,GCA__000261165.1,GCA__000261165.1,GCA_000261165.1,GCA_000261165.1,GCA_000261165.1
,,,,,,GCA__000262815.1,GCA__000262815.1,GCA_000262815.1,GCA_000262815.1,GCA_000262815.1
,,,,,,GCA__000262835.1,GCA__000262835.1,GCA_000262835.1,GCA_000262835.1,GCA_000262835.1
,,,,,,GCA__000262855.1,GCA__000262855.1,GCA_000262855.1,GCA_000262855.1,GCA_000262855.1
,,,,,,GCA__000262875.1,GCA__000262875.1,GCA_000262875.1,GCA_000262875.1,GCA_000262875.1
,,,,,,GCA__000262895.1,GCA__000262895.1,GCA_000262895.1,GCA_000262895.1,GCA_000262895.1
,,,,,,GCA__000262915.1,GCA__000262915.1,GCA_000262915.1,GCA_000262915.1,GCA_000262915.1
,,,,,,GCA__000262935.1,GCA__000262935.1,GCA_000262935.1,GCA_000262935.1,GCA_000262935.1
,,,,,,GCA__000262955.1,GCA__000262955.1,GCA_000262955.1,GCA_000262955.1,GCA_000262955.1
,,,,,,GCA__000262975.1,GCA__000262975.1,GCA_000262975.1,GCA_000262975.1,GCA_000262975.1
,,,,,,GCA__000262995.2,GCA__000262995.2,GCA_000262995.2,GCA_000262995.2,GCA_000262995.2
,,,,,,GCA__000263015.1,GCA__000263015.1,GCA_000263015.1,GCA_000263015.1,GCA_000263015.1
,,,,,,GCA__000263035.1,GCA__000263035.1,GCA_000263035.1,GCA_000263035.1,GCA_000263035.1
,,,,,,GCA__000276625.1,GCA__000276625.1,GCA_000276625.1,GCA_000276625.1,GCA_000276625.1
,,,,,,GCA__000280745.1,GCA__000280745.1,GCA_000280745.1,GCA_000280745.1,GCA_000280745.1
,,,,,,GCA__000284535.1,GCA__000284535.1,GCA_000284535.1,GCA_000284535.1,GCA_000284535.1
,,,,,,GCA__000284895.1,GCA__000284895.1,GCA_000284895.1,GCA_000284895.1,GCA_000284895.1
,,,,,,GCA__000294385.2,GCA__000294385.2,GCA_000294385.2,GCA_000294385.2,GCA_000294385.2
,,,,,,GCA__000296595.1,GCA__000296595.1,GCA_000296595.1,GCA_000296595.1,GCA_000296595.1
,,,,,,GCA__000307695.1,GCA__000307695.1,GCA_000307695.1,GCA_000307695.1,GCA_000307695.1
,,,,,,GCA__000308895.1,GCA__000308895.1,GCA_000308895.1,GCA_000308895.1,GCA_000308895.1
,,,,,,GCA__000308915.1,GCA__000308915.1,GCA_000308915.1,GCA_000308915.1,GCA_000308915.1
,,,,,,GCA__000312965.1,GCA__000312965.1,GCA_000312965.1,GCA_000312965.1,GCA_000312965.1
,,,,,,GCA__000312985.1,GCA__000312985.1,GCA_000312985.1,GCA_000312985.1,GCA_000312985.1
,,,,,,GCA__000313005.1,GCA__000313005.1,GCA_000313005.1,GCA_000313005.1,GCA_000313005.1
,,,,,,GCA__000313025.1,GCA__000313025.1,GCA_000313025.1,GCA_000313025.1,GCA_000313025.1
,,,,,,GCA__000313595.1,GCA__000313595.1,GCA_000313595.1,GCA_000313595.1,GCA_000313595.1
,,,,,,GCA__000330685.1,GCA__000330685.1,GCA_000330685.1,GCA_000330685.1,GCA_000330685.1
,,,,,,GCA__000330825.2,GCA__000330825.2,GCA_000330825.2,GCA_000330825.2,GCA_000330825.2
,,,,,,GCA__000332665.1,GCA__000332665.1,GCA_000332665.1,GCA_000332665.1,GCA_000332665.1
,,,,,,GCA__000332685.1,GCA__000332685.1,GCA_000332685.1,GCA_000332685.1,GCA_000332685.1
,,,,,,GCA__000336275.1,GCA__000336275.1,GCA_000336275.1,GCA_000336275.1,GCA_000336275.1
,,,,,,GCA__000336295.1,GCA__000336295.1,GCA_000336295.1,GCA_000336295.1,GCA_000336295.1
,,,,,,GCA__000336315.1,GCA__000336315.1,GCA_000336315.1,GCA_000336315.1,GCA_000336315.1
,,,,,,GCA__000336335.1,GCA__000336335.1,GCA_000336335.1,GCA_000336335.1,GCA_000336335.1
,,,,,,GCA__000336515.1,GCA__000336515.1,GCA_000336515.1,GCA_000336515.1,GCA_000336515.1
,,,,,,GCA__000336595.1,GCA__000336595.1,GCA_000336595.1,GCA_000336595.1,GCA_000336595.1
,,,,,,,GCA__000350425.2,GCA_000350425.2,GCA_000350425.2,GCA_000350425.2
,,,,,,,GCA__000359665.1,GCA_000359665.1,GCA_000359665.1,GCA_000359665.1
,,,,,,,GCA__000359765.1,GCA_000359765.1,GCA_000359765.1,GCA_000359765.1
,,,,,,,GCA__000359785.1,GCA_000359785.1,GCA_000359785.1,GCA_000359785.1
,,,,,,,GCA__000359805.1,GCA_000359805.1,GCA_000359805.1,GCA_000359805.1
,,,,,,,GCA__000359825.1,GCA_000359825.1,GCA_000359825.1,GCA_000359825.1
,,,,,,,GCA__000359845.1,GCA_000359845.1,GCA_000359845.1,GCA_000359845.1
,,,,,,,GCA__000359865.1,GCA_000359865.1,GCA_000359865.1,GCA_000359865.1
,,,,,,,GCA__000359885.1,GCA_000359885.1,GCA_000359885.1,GCA_000359885.1
,,,,,,,GCA__000359905.1,GCA_000359905.1,GCA_000359905.1,GCA_000359905.1
,,,,,,,GCA__000359925.1,GCA_000359925.1,GCA_000359925.1,GCA_000359925.1
,,,,,,,GCA__000359945.1,GCA_000359945.1,GCA_000359945.1,GCA_000359945.1
,,,,,,,GCA__000359965.1,GCA_000359965.1,GCA_000359965.1,GCA_000359965.1
,,,,,,,GCA__000359985.1,GCA_000359985.1,GCA_000359985.1,GCA_000359985.1
,,,,,,,GCA__000360005.1,GCA_000360005.1,GCA_000360005.1,GCA_000360005.1
,,,,,,,GCA__000360025.1,GCA_000360025.1,GCA_000360025.1,GCA_000360025.1
,,,,,,,GCA__000360045.1,GCA_000360045.1,GCA_000360045.1,GCA_000360045.1
,,,,,,,GCA__000360065.1,GCA_000360065.1,GCA_000360065.1,GCA_000360065.1
,,,,,,,GCA__000360085.1,GCA_000360085.1,GCA_000360085.1,GCA_000360085.1
,,,,,,,GCA__000360105.1,GCA_000360105.1,GCA_000360105.1,GCA_000360105.1
,,,,,,,GCA__000360125.1,GCA_000360125.1,GCA_000360125.1,GCA_000360125.1
